artist,track_name,ms_played
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,101340
Wham!,Last Christmas,263391
Billie Eilish,Therefore I Am,3314
Lil Uzi Vert,Just Wanna Rock,236595
The Weeknd & Ariana Grande,Die For You,198570
Taylor Swift,Anti-Hero,182424
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,231964
The Killers,Mr Brightside,101512
The Weeknd & Ariana Grande,Die For You,203349
Gayle,abcdefu,26449
Rosa Linn,Snap,68176
Future & Drake,Life Is Good,211841
SAINt JHN,Roses,48627
CKay,Love Nwantiti,203853
Olivia Rodrigo,Traitor,88236
OneRepublic,I Ain't Worried,64962
Justin Bieber & Daniel Caesar & Giveon,Peaches,179398
Doja Cat & The Weeknd,You Right,32807
Lil Nas X,Montero (Call Me By Your Name),86515
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,25884
CJ,Whoopty,74642
Elton John & Dua Lipa,Cold Heart,55293
Dua Lipa & DaBaby,Levitating,26513
Morgan Wallen,Wasted On You,82825
Beyonce,Break My Soul,271886
Kane Brown With Katelyn Brown,Thank God,24132
PinkPantheress & Ice Spice,Boy's A Liar,Pt. 2,257378
Morgan Wallen,Last Night,2707
Doja Cat & The Weeknd,You Right,207699
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,105749
Metro Boomin, The Weeknd & 21 Savage,Creepin',247025
Fireboy DML & Ed Sheeran,Peru,128867
Lost Frequencies & Calum Scott,Where Are You Now,188578
Jack Harlow,First Class,146622
Joji,Glimpse Of Us,298132
Dua Lipa,Break My Heart,144199
Glass Animals,Heat Waves,163832
The Weeknd,Take My Breath,229879
SAINt JHN,Roses,96037
Doja Cat,Paint The Town Red,263154
Kelly Clarkson,Underneath The Tree,100458
Billie Eilish,Therefore I Am,229068
Nicki Minaj & Ice Spice with Aqua,Barbie World,139683
Tom Odell,Another Love,262145
Joji,Glimpse Of Us,192482
Lil Nas & Jack Harlow,Industry Baby,292881
Lewis Capaldi,Someone You Loved,147915
Shouse,Love Tonight,209515
The Ronettes,Sleigh Ride,47992
The Weeknd,Blinding Lights,299462
SAINt JHN,Roses,254484
Nat King Cole,The Christmas Song (Merry Christmas To You),43425
SZA,Kill Bill,149278
Wham!,Last Christmas,145337
Luke Combs,Forever After All,27174
Billie Eilish,What Was I Made For?,69906
Tate McRae,You Broke Me First,133256
SAINt JHN,Roses (Imanbek Remix),176506
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,96390
Olivia Rodrigo,Traitor,132144
Gunna,Fukumean,97178
The Weeknd & Ariana Grande,Save Your Tears,38768
Post Malone,Circles,175619
CJ,Whoopty,282066
CJ,Whoopty,36151
Fireboy DML & Ed Sheeran,Peru,90623
Ed Sheeran,Shivers,204586
Harry Styles,Adore You,75399
Beyonce,Cuff It,57003
Olivia Rodrigo,Good 4 U,72897
Olivia Rodrigo,Drivers License,103617
Saweetie & Doja Cat,Best Friend,178990
Coldplay & BTS,My Universe,27046
Cardi B,Up,201066
Kane Brown With Katelyn Brown,Thank God,239029
Drake & Lil Durk,Laugh Now Cry Later,62892
Billie Eilish,everything i wanted,139723
Farruko,Pepas,94740
Lost Frequencies & Calum Scott,Where Are You Now,149339
Rema & Selena Gomez,Calm Down,114334
Dove Cameron,Boyfriend,186295
Cardi B & Megan Thee Stallion,WAP,57289
Roddy Ricch,The Box,48336
Morgan Wallen,Wasted On You,25483
Morgan Wallen,Thinkin' Bout Me,4779
Metro Boomin, The Weeknd & 21 Savage,Creepin',223457
Dua Lipa,Don't Start Now,29650
Taylor Swift,Anti-Hero,2178
Lizzo,About Damn Time,70761
Nicki Minaj,Super Freaky Girl,77797
Lil Durk & J Cole,All My Life,282827
Maroon 5,Memories,158112
Em Beihold,Numb Little Bug,236187
Kate Bush,Running Up That Hill (A Deal With God),107729
Tate McRae,She's All I Wanna Be,18544
Andy Williams,It's The Most Wonderful Time Of The Year,244509
Rosa Linn,Snap,277093
Harry Styles,As It Was,248624
Cardi B,Up,44170
Steve Lacy,Bad Habit,131058
Raye & 070 Shake,Escapism,193351
OneRepublic,I Ain't Worried,158449
Bad Bunny & Jhay Cortez,Dakiti,65181
Beyonce,Cuff It,192185
Tate McRae,You Broke Me First,268597
Burl Ives,A Holly Jolly Christmas,231545
Morgan Wallen,Last Night,155370
Masked Wolf,Astronaut In The Ocean,149785
Acraze & Cherish,Do It To It,203404
Dua Lipa,Break My Heart,250716
Saweetie & Doja Cat,Best Friend,113792
Sam Smith & Kim Petras,Unholy,15660
Bad Bunny,Titi me pregunto,275791
Saweetie & Doja Cat,Best Friend,182901
Dua Lipa,Dance The Night,153747
Glass Animals,Heat Waves,53042
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),177911
Justin Bieber,Ghost,226704
Metro Boomin, The Weeknd & 21 Savage,Creepin',217318
Steve Lacy,Bad Habit,171960
Raye & 070 Shake,Escapism,32827
DJ Ti.sto & Ava Max,The Motto,153583
Camila Cabello & DaBaby,My Oh My,143297
Dua Lipa,Dance The Night,201211
Drake & 21 Savage,Rich Flex,161623
Maren Morris,The Bones,208961
Eslabon Armado & Peso Pluma,Ella Baila Sola,16719
Gayle,abcdefu,298359
Pop Smoke & Lil Baby & DaBaby,For The Night,56093
Ariana Grande,Santa Tell Me,103839
Olivia Rodrigo,Good 4 U,54133
Jelly Roll,Need A Favor,184938
Morgan Wallen,Thought You Should Know,295459
Kodak Black,Super Gremlin,17017
Cardi B & Megan Thee Stallion,WAP,171362
Dove Cameron,Boyfriend,279129
Zach Bryan & Kacey Musgraves,I Remember Everything,47634
Walker Hayes,Fancy Like,285085
Taylor Swift,Cruel Summer,31130
Apache 207,Roller,123230
Kenya Grace,Strangers,290996
Apache 207,Roller,110571
Joji,Glimpse Of Us,95919
Morgan Wallen,You Proof,86590
Shouse,Love Tonight,263650
Dua Lipa,Dance The Night,231578
Kane Brown With Katelyn Brown,Thank God,258909
Acraze & Cherish,Do It To It,286887
Adele,Easy On Me,179859
Drake & 21 Savage,Rich Flex,153515
Olivia Rodrigo,Good 4 U,212162
Dua Lipa,Dance The Night,91666
Dove Cameron,Boyfriend,219803
Acraze & Cherish,Do It To It,208204
Justin Bieber & Daniel Caesar & Giveon,Peaches,209256
Eslabon Armado & Peso Pluma,Ella Baila Sola,3143
Steve Lacy,Bad Habit,211736
Rosa Linn,Snap,45037
Miguel,Sure Thing,238095
Drake & 21 Savage,Rich Flex,247781
Olivia Rodrigo,Good 4 U,68116
24kGoldn & Iann Dior,Mood,79839
Latto,Big Energy,113023
Giveon,Heartbreak Anniversary,179680
Post Malone & The Weeknd,One Right Now,198646
Topic & A7S,Breaking Me,141612
Billie Eilish,everything i wanted,196622
Dua Lipa,Dance The Night,21577
Justin Bieber & Daniel Caesar & Giveon,Peaches,186242
Meghan Trainor,Made You Look,100854
Bailey Zimmerman,Rock And A Hard Place,159920
Doja Cat,Vegas,105720
Billie Eilish,What Was I Made For?,286698
Gayle,abcdefu,154925
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),226216
Eslabon Armado & Peso Pluma,Ella Baila Sola,128514
Drake,Toosie Slide,60208
Dua Lipa & DaBaby,Levitating,81945
Luke Combs,Forever After All,48686
Lil Tjay & 6LACK,Calling My Phone,2946
Lil Nas X,Montero (Call Me By Your Name),240543
Powfu & Beabadoobee,Death Bed,252893
Andy Williams,It's The Most Wonderful Time Of The Year,253372
Lil Nas X,Montero (Call Me By Your Name),61368
Pop Smoke,What You Know Bout Love,94838
The Ronettes,Sleigh Ride,142862
Maren Morris,The Bones,19930
Lil Mosey,Blueberry Faygo,17488
Olivia Rodrigo,Drivers License,46841
Ed Sheeran,Bad Habits,145249
DJ Ti.sto & Ava Max,The Motto,80547
Farruko,Pepas,44229
Doja Cat & SZA,Kiss Me More,197172
The Weeknd,Blinding Lights,142212
Stephen Sanchez,Until I Found You,147950
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,106324
Lil Nas & Jack Harlow,Industry Baby,283002
CJ,Whoopty,146100
Apache 207,Roller,159299
Gayle,abcdefu,55159
Em Beihold,Numb Little Bug,45981
Harry Styles,Watermelon Sugar,174739
Kane Brown With Katelyn Brown,Thank God,276689
Andy Williams,It's The Most Wonderful Time Of The Year,265102
Coldplay & BTS,My Universe,10190
BTS,Dynamite,16920
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),86660
Elton John & Dua Lipa,Cold Heart,236172
Libianca,People,279633
CKay,Love Nwantiti,234296
Glass Animals,Heat Waves,74051
Kenya Grace,Strangers,286846
DJ Ti.sto,The Business,261521
BTS,Butter,278938
PinkPantheress & Ice Spice,Boy's A Liar,Pt. 2,13636
SZA,Snooze,228570
Lil Nas X,Montero (Call Me By Your Name),37528
Doja Cat & Nicki Minaj,Say So,46053
Lil Mosey,Blueberry Faygo,116426
JVKE,golden hour,44382
Olivia Rodrigo,Vampire,153015
Tate McRae,Greedy,200972
Harry Styles,Watermelon Sugar,242672
Dua Lipa,Break My Heart,116284
Stephen Sanchez,Until I Found You,191990
Farruko,Pepas,135724
Steve Lacy,Bad Habit,50950
Brenda Lee,Rockin' Around The Christmas Tree,49913
OneRepublic,I Ain't Worried,278650
Olivia Rodrigo,Drivers License,124981
Miley Cyrus,Flowers,195834
Bailey Zimmerman,Rock And A Hard Place,78716
Drake & 21 Savage,Jimmy Cooks,45702
Drake & Future & Young Thug,Way 2 Sexy,36252
Zach Bryan,Something In The Orange,121335
Harry Styles,Late Night Talking,222468
Zach Bryan & Kacey Musgraves,I Remember Everything,217649
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,297208
Bad Bunny & Jhay Cortez,Dakiti,22118
David Guetta & Bebe Rexha,I'm Good (Blue),46989
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,76594
Billie Eilish,everything i wanted,232144
Kate Bush,Running Up That Hill (A Deal With God),118885
Dua Lipa & DaBaby,Levitating,12496
Lil Nas & Jack Harlow,Industry Baby,178343
Doja Cat,Woman,135315
Beyonce,Break My Soul,265464
Rosa Linn,Snap,108649
Dua Lipa & DaBaby,Levitating,195486
Drake,Toosie Slide,230212
Meghan Trainor,Made You Look,213896
Ariana Grande,Positions,136976
Zach Bryan,Something In The Orange,31059
Tom Odell,Another Love,179447
Powfu & Beabadoobee,Death Bed,236816
Beyonce,Cuff It,144797
Morgan Wallen,Last Night,263190
Dua Lipa & DaBaby,Levitating,243909
Post Malone,Circles,276415
Nathan Evans,Wellerman,146406
Doja Cat & Nicki Minaj,Say So,175314
Tones & I,Dance Monkey,118808
Acraze & Cherish,Do It To It,217989
BTS,Butter,212804
Wham!,Last Christmas,129050
Beyonce,Cuff It,86465
Kelly Clarkson,Underneath The Tree,177745
Chris Brown & Young Thug,Go Crazy,237731
Luke Combs,Fast Car,270039
Coi Leray,Players,233214
Nicki Minaj & Ice Spice with Aqua,Barbie World,171542
Gayle,abcdefu,10315
Wham!,Last Christmas,139589
Sam Smith & Kim Petras,Unholy,55268
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,204978
Trevor Daniel,Falling,250096
Drake & 21 Savage,Rich Flex,113686
Jordan Davis & Luke Bryan,Buy Dirt,187635
Lil Nas X,Montero (Call Me By Your Name),68981
Glass Animals,Heat Waves,219754
Morgan Wallen,Thinkin' Bout Me,59413
Post Malone,Chemical,199288
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,137179
DJ Ti.sto & Ava Max,The Motto,288026
BTS,Butter,157376
Coldplay & BTS,My Universe,155439
Trevor Daniel,Falling,291734
Taylor Swift,Anti-Hero,188173
Glass Animals,Heat Waves,6335
Arizona Zervas,Roxanne,187676
Morgan Wallen,Thinkin' Bout Me,182642
Joel Corry & MNEK,Head & Heart,107601
Joji,Glimpse Of Us,188671
Elton John & Dua Lipa,Cold Heart,290677
Ariana Grande,Santa Tell Me,194248
Maroon 5,Memories,223173
Pop Smoke & Lil Baby & DaBaby,For The Night,116446
Tom Odell,Another Love,22948
Morgan Wallen,Thought You Should Know,203375
Morgan Wallen,Thought You Should Know,21704
Farruko,Pepas,295814
David Guetta & Bebe Rexha,I'm Good (Blue),257756
Joel Corry & MNEK,Head & Heart,155347
Drake & Lil Durk,Laugh Now Cry Later,191920
Beyonce,Cuff It,185584
David Kushner,Daylight,252092
Taylor Swift,Lavender Haze,272234
Glass Animals,Heat Waves,30872
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,1319
Lil Tjay & 6LACK,Calling My Phone,65461
Billie Eilish,Bad Guy,105762
Maren Morris,The Bones,192257
Toosii,Favorite Song,260731
The Weeknd,Take My Breath,286280
Nicky Youre & dazy,Sunroof,131986
Bad Bunny,Titi me pregunto,29366
Bad Bunny,Titi me pregunto,248952
Taylor Swift,Cruel Summer,189601
Kodak Black,Super Gremlin,161623
Drake & Lil Durk,Laugh Now Cry Later,52879
Doja Cat,Woman,107199
Harry Styles,Watermelon Sugar,84528
Drake & 21 Savage & Project Pat,Knife Talk,103355
Cole Swindell,She Had Me At Heads Carolina,112661
Acraze & Cherish,Do It To It,253588
Wham!,Last Christmas,96972
DJ Ti.sto,The Business,117164
Bad Bunny & Chencho Corleone,Me porto bonito,109538
Toosii,Favorite Song,224907
Cole Swindell,She Had Me At Heads Carolina,272825
Post Malone,Chemical,107829
Doja Cat,Vegas,98706
Gunna,Fukumean,56944
Kate Bush,Running Up That Hill (A Deal With God),142970
Lil Durk & J Cole,All My Life,70333
SAINt JHN,Roses,289888
Roddy Ricch,The Box,91698
Post Malone,Circles,84834
Tom Odell,Another Love,116354
Doja Cat,Paint The Town Red,25382
OneRepublic,I Ain't Worried,67572
Drake & Lil Durk,Laugh Now Cry Later,231291
Doja Cat & The Weeknd,You Right,10310
Cardi B,Up,240680
Ed Sheeran,Bad Habits,99224
Lewis Capaldi,Before You Go,166766
Andy Williams,It's The Most Wonderful Time Of The Year,259523
Chris Brown & Young Thug,Go Crazy,33129
Justin Bieber & Quavo,Intentions,296720
Doja Cat & The Weeknd,You Right,181979
Future & Drake,Life Is Good,291108
The Weeknd & Ariana Grande,Die For You,211169
Adele,Easy On Me,69347
Luke Combs,The Kind of Love We Make,119520
Doja Cat,Paint The Town Red,68238
Nicki Minaj & Ice Spice with Aqua,Barbie World,727
CKay,Love Nwantiti,204028
Dua Lipa & DaBaby,Levitating,10861
Ariana Grande,Santa Tell Me,23891
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,157065
Justin Bieber & Daniel Caesar & Giveon,Peaches,31889
Jelly Roll,Need A Favor,284859
Tate McRae,She's All I Wanna Be,140877
Drake,Toosie Slide,90648
Dua Lipa,Don't Start Now,240182
The Ronettes,Sleigh Ride,204360
Olivia Rodrigo,Good 4 U,267587
Taylor Swift,Anti-Hero,260257
CKay,Love Nwantiti,132877
Kate Bush,Running Up That Hill (A Deal With God),16268
Nicki Minaj,Super Freaky Girl,291446
Maroon 5,Memories,19074
Billie Eilish,Bad Guy,109968
OneRepublic,I Ain't Worried,196343
Coi Leray,Players,185499
Maroon 5,Memories,12191
Luke Combs,Forever After All,177289
Lewis Capaldi,Someone You Loved,37030
Miley Cyrus,Midnight Sky,219939
Lil Nas X,Montero (Call Me By Your Name),221455
Andy Williams,It's The Most Wonderful Time Of The Year,56196
Billie Eilish,What Was I Made For?,67448
Future & Drake & Tems,WAIT FOR U,217633
Andy Williams,It's The Most Wonderful Time Of The Year,216042
Nat King Cole,The Christmas Song (Merry Christmas To You),83200
Drake,Toosie Slide,237659
Nicki Minaj & Ice Spice with Aqua,Barbie World,45790
Dua Lipa,Break My Heart,74816
Lil Nas & Jack Harlow,Industry Baby,94114
Bad Bunny & Chencho Corleone,Me porto bonito,68309
SAINt JHN,Roses (Imanbek Remix),197644
Sam Smith & Kim Petras,Unholy,142477
Doja Cat,Woman,112339
Latto,Big Energy,224620
Ed Sheeran,Eyes Closed,227732
24kGoldn & Iann Dior,Mood,201463
SAINt JHN,Roses (Imanbek Remix),30167
Post Malone,Chemical,154323
David Guetta & Bebe Rexha,I'm Good (Blue),295048
Lil Tjay & 6LACK,Calling My Phone,274054
Kelly Clarkson,Underneath The Tree,48043
Miley Cyrus,Flowers,206974
The Kid LAROI,Without You,241184
Pop Smoke,What You Know Bout Love,255736
Toosii,Favorite Song,262616
The Kid LAROI & Justin Bieber,Stay,190502
SAINt JHN,Roses,299322
Olivia Rodrigo,Deja Vu,135495
Em Beihold,Numb Little Bug,13695
Beyonce,Break My Soul,5182
Doja Cat & The Weeknd,You Right,261313
Michael Buble,It's Beginning To Look A Lot Like Christmas,35956
Lady Gaga & Ariana Grande,Rain On Me,82475
Chris Brown & Young Thug,Go Crazy,77565
Cardi B & Megan Thee Stallion,WAP,27757
Bailey Zimmerman,Rock And A Hard Place,88621
Bailey Zimmerman,Rock And A Hard Place,78418
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,163948
Nicki Minaj,Super Freaky Girl,222797
Apache 207,Roller,44552
Dua Lipa & DaBaby,Levitating,110083
Nicki Minaj & Ice Spice with Aqua,Barbie World,243860
Miley Cyrus,Midnight Sky,119718
BTS,Butter,169978
Post Malone & The Weeknd,One Right Now,153658
Em Beihold,Numb Little Bug,33866
Rema,Calm Down,299876
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),114033
Taylor Swift,Lavender Haze,201022
Metro Boomin, The Weeknd & 21 Savage,Creepin',118464
Adele,Easy On Me,153012
Morgan Wallen,You Proof,88782
DaBaby & Roddy Ricch,Rockstar,37031
Post Malone & Doja Cat,I Like You (A Happier Song),221838
Stephen Sanchez,Until I Found You,162188
Taylor Swift,Cruel Summer,281294
Morgan Wallen,Thinkin' Bout Me,235669
Lil Nas X,Montero (Call Me By Your Name),147840
Luke Combs,The Kind of Love We Make,150248
Stephen Sanchez,Until I Found You,5278
Miley Cyrus,Midnight Sky,41803
Cole Swindell,She Had Me At Heads Carolina,107044
Lil Tjay & 6LACK,Calling My Phone,28402
Powfu & Beabadoobee,Death Bed,60985
Pop Smoke,What You Know Bout Love,24379
Michael Buble,It's Beginning To Look A Lot Like Christmas,149347
Future & Drake & Tems,WAIT FOR U,246480
Bad Bunny & Chencho Corleone,Me porto bonito,278711
Tom Odell,Another Love,175873
Future & Drake & Tems,WAIT FOR U,49701
Pop Smoke & Lil Baby & DaBaby,For The Night,226301
24kGoldn & Iann Dior,Mood,187564
Lil Nas & Jack Harlow,Industry Baby,63378
Harry Styles,Adore You,110815
Arizona Zervas,Roxanne,291247
Olivia Rodrigo,Traitor,127924
Lost Frequencies & Calum Scott,Where Are You Now,166901
Chris Brown,Under The Influence,287542
Giveon,Heartbreak Anniversary,5453
Olivia Rodrigo,Vampire,123152
Olivia Rodrigo,Deja Vu,73335
Ed Sheeran,Bad Habits,297709
Wham!,Last Christmas,286959
Pop Smoke & Lil Baby & DaBaby,For The Night,160630
Camila Cabello & Ed Sheeran,Bam Bam,85000
JVKE,golden hour,53691
Rema,Calm Down,261653
Billie Eilish,Bad Guy,14237
Farruko,Pepas,238669
Giveon,Heartbreak Anniversary,273598
Stephen Sanchez,Until I Found You,44349
Steve Lacy,Bad Habit,231948
Nicki Minaj & Ice Spice with Aqua,Barbie World,81164
Bailey Zimmerman,Rock And A Hard Place,152864
CJ,Whoopty,113829
Joel Corry & MNEK,Head & Heart,144796
OneRepublic,I Ain't Worried,62278
Dua Lipa,Dance The Night,285885
Ed Sheeran,Eyes Closed,284671
AJR,Bang!,129847
SZA,Snooze,162922
BTS,Butter,194086
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,269425
The Killers,Mr Brightside,274494
Doja Cat,Vegas,157129
Drake & Future & Young Thug,Way 2 Sexy,49699
Nicki Minaj & Ice Spice with Aqua,Barbie World,95702
Rema,Calm Down,237357
Bad Bunny & Jhay Cortez,Dakiti,56485
Ariana Grande,Positions,26438
Wham!,Last Christmas,84874
Rema,Calm Down,188179
The Killers,Mr Brightside,37162
Shouse,Love Tonight,17398
Future & Drake & Tems,WAIT FOR U,107734
Taylor Swift,Cruel Summer,148557
Rema & Selena Gomez,Calm Down,99299
Fifty Fifty,Cupid,240910
Morgan Wallen,Wasted On You,224670
Masked Wolf,Astronaut In The Ocean,164869
Roddy Ricch,The Box,192410
Pop Smoke,What You Know Bout Love,191087
Tate McRae,You Broke Me First,225121
Doja Cat,Vegas,287660
Lil Nas & Jack Harlow,Industry Baby,176492
Kate Bush,Running Up That Hill (A Deal With God),106402
Chris Brown,Under The Influence,209933
SZA,Kill Bill,122752
Ava Max,Kings & Queens,66971
Arizona Zervas,Roxanne,156115
Masked Wolf,Astronaut In The Ocean,176934
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,134728
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,245474
Morgan Wallen,Thought You Should Know,233547
David Guetta & Bebe Rexha,I'm Good (Blue),61156
Gabby Barrett & Charlie Puth,I Hope,216937
Dua Lipa,Dance The Night,45312
Future & Drake & Tems,WAIT FOR U,116401
Ed Sheeran,Shivers,48325
Doja Cat & SZA,Kiss Me More,31239
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,176064
Billie Eilish,Bad Guy,246018
Maneskin,Beggin',200614
Nicky Youre & dazy,Sunroof,209164
Justin Bieber & Daniel Caesar & Giveon,Peaches,160980
Nicki Minaj & Ice Spice with Aqua,Barbie World,32497
Lizzo,About Damn Time,61615
Harry Styles,Late Night Talking,79733
SZA,Kill Bill,154516
Post Malone,Circles,290296
Rihanna,Lift Me Up,247397
Tate McRae,You Broke Me First,293514
Taylor Swift,Anti-Hero,200241
Maneskin,Beggin',244050
CKay,Love Nwantiti,49030
Morgan Wallen,Thinkin' Bout Me,81318
Surf Mesa & Emilee,ILY (I Love You Baby),272088
Nicki Minaj,Super Freaky Girl,205094
DJ Ti.sto & Ava Max,The Motto,95515
Justin Bieber & Daniel Caesar & Giveon,Peaches,255087
Ed Sheeran,Shivers,126600
Luke Combs,Forever After All,194584
Ariana Grande,Positions,93075
Morgan Wallen,You Proof,252854
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,3933
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),1306
Billie Eilish,everything i wanted,5348
Olivia Rodrigo,Good 4 U,194948
OneRepublic,I Ain't Worried,50645
Taylor Swift,Cruel Summer,289533
Arizona Zervas,Roxanne,193741
DJ Ti.sto & Ava Max,The Motto,82139
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),255219
Trevor Daniel,Falling,59387
Post Malone & Doja Cat,I Like You (A Happier Song),154059
Roddy Ricch,The Box,59405
Olivia Rodrigo,Drivers License,21387
Internet Money & Gunna & Don Toliver & NAV,Lemonade,139079
Olivia Rodrigo,Deja Vu,104499
Lil Tjay & 6LACK,Calling My Phone,299974
Doja Cat,Need To Know,105736
Nathan Evans,Wellerman,31196
Lil Nas & Jack Harlow,Industry Baby,259176
Roddy Ricch,The Box,191972
Adele,Easy On Me,170398
Raye & 070 Shake,Escapism,84866
Latto,Big Energy,109396
Masked Wolf,Astronaut In The Ocean,69433
Fireboy DML & Ed Sheeran,Peru,153240
Cole Swindell,She Had Me At Heads Carolina,84831
Doja Cat & SZA,Kiss Me More,267394
Camila Cabello & DaBaby,My Oh My,54616
Drake,Toosie Slide,187064
