artist,track_name,ms_played
Em Beihold,Numb Little Bug,296593
Lewis Capaldi,Someone You Loved,64034
Billie Eilish,everything i wanted,69688
Machine Gun Kelly & BLACKBEAR,My Ex's Best Friend,225339
Maroon 5,Memories,298257
Bailey Zimmerman,Rock And A Hard Place,164501
Olivia Rodrigo,Deja Vu,233935
Latto,Big Energy,129773
Morgan Wallen,You Proof,292505
Fifty Fifty,Cupid,105608
Kate Bush,Running Up That Hill (A Deal With God),39424
Post Malone,Circles,277894
Rosa Linn,Snap,242092
The Weeknd,Take My Breath,84855
The Weeknd & Ariana Grande,Die For You,208823
JVKE,golden hour,161152
Cole Swindell,She Had Me At Heads Carolina,259347
Olivia Rodrigo,Deja Vu,137112
Olivia Rodrigo,Traitor,229830
Giveon,Heartbreak Anniversary,139444
Miley Cyrus,Midnight Sky,3447
Lil Nas X,Montero (Call Me By Your Name),250714
Morgan Wallen,Sand In My Boots,238654
Maroon 5,Memories,203558
Masked Wolf,Astronaut In The Ocean,289916
AJR,Bang!,190978
Rema,Calm Down,128517
Rema & Selena Gomez,Calm Down,205697
WizKid & Justin Bieber & Tems,Essence,107239
Olivia Rodrigo,Good 4 U,55720
Kodak Black,Super Gremlin,232725
Rihanna,Lift Me Up,71107
Olivia Rodrigo,Good 4 U,31667
Beyonce,Cuff It,221778
Apache 207,Roller,258496
Ed Sheeran,Eyes Closed,217453
Olivia Rodrigo,Drivers License,132434
Steve Lacy,Bad Habit,170109
Doja Cat,Woman,189482
Meghan Trainor,Made You Look,153733
Brenda Lee,Rockin' Around The Christmas Tree,97622
Nat King Cole,The Christmas Song (Merry Christmas To You),281393
Future & Drake,Life Is Good,167100
Glass Animals,Heat Waves,284565
Doja Cat & The Weeknd,You Right,191015
Beyonce,Cuff It,56978
Em Beihold,Numb Little Bug,272320
Bad Bunny & Jhay Cortez,Dakiti,187541
Bailey Zimmerman,Rock And A Hard Place,41002
Maneskin,Beggin',281986
Toosii,Favorite Song,1706
Billie Eilish,What Was I Made For?,280989
Internet Money & Gunna & Don Toliver & NAV,Lemonade,3967
Doja Cat & The Weeknd,You Right,230466
Dove Cameron,Boyfriend,210262
SZA,Snooze,268068
Tate McRae,You Broke Me First,211137
Ariana Grande,Santa Tell Me,103221
Kate Bush,Running Up That Hill (A Deal With God),46620
Olivia Rodrigo,Vampire,147559
Adele,Easy On Me,236
Miley Cyrus,Flowers,84489
Doja Cat & The Weeknd,You Right,171744
Coi Leray,Players,224605
The Weeknd & Ariana Grande,Save Your Tears,286521
Olivia Rodrigo,Good 4 U,182696
Future & Drake,Life Is Good,14803
Bad Bunny & Chencho Corleone,Me porto bonito,71337
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,271507
Drake & 21 Savage & Project Pat,Knife Talk,217764
Lil Uzi Vert,Just Wanna Rock,112492
Zach Bryan,Something In The Orange,240230
David Guetta & Bebe Rexha,I'm Good (Blue),33695
Camila Cabello & DaBaby,My Oh My,227858
Drake & 21 Savage & Project Pat,Knife Talk,109893
Lady Gaga & Ariana Grande,Rain On Me,156766
The Weeknd & Ariana Grande,Save Your Tears,273460
Cardi B,Up,8060
Rema & Selena Gomez,Calm Down,263619
Lizzo,About Damn Time,132904
Saweetie & Doja Cat,Best Friend,186101
Doja Cat,Woman,186410
Dua Lipa & DaBaby,Levitating,266746
Jack Harlow,First Class,288823
Billie Eilish,everything i wanted,264876
Harry Styles,Watermelon Sugar,138185
Ava Max,Kings & Queens,138538
Kenya Grace,Strangers,177085
Walker Hayes,Fancy Like,280421
Maroon 5,Memories,34097
AJR,Bang!,114056
Imagine Dragons & JID,Enemy,144175
Taylor Swift,Lavender Haze,175653
Meghan Trainor,Made You Look,167527
Kenya Grace,Strangers,96642
BTS,Butter,60734
SAINt JHN,Roses,199819
Walker Hayes,Fancy Like,181588
Harry Styles,Adore You,235334
Lewis Capaldi,Someone You Loved,195699
SZA,Snooze,239561
DJ Ti.sto,The Business,5362
Pop Smoke,What You Know Bout Love,241082
Glass Animals,Heat Waves,2771
Jose Feliciano,Feliz Navidad,20419
Jose Feliciano,Feliz Navidad,131450
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),44433
Topic & A7S,Breaking Me,197460
Doja Cat & The Weeknd,You Right,278185
Tate McRae,She's All I Wanna Be,144328
Toosii,Favorite Song,1481
Meghan Trainor,Made You Look,266260
The Kid LAROI & Justin Bieber,Stay,84418
Pop Smoke & Lil Baby & DaBaby,For The Night,148121
Powfu & Beabadoobee,Death Bed,74535
CJ,Whoopty,97627
Beyonce,Break My Soul,194904
Fifty Fifty,Cupid,173862
Fifty Fifty,Cupid,296616
Oliver Tree & Robin Schulz,Miss You,21887
SAINt JHN,Roses (Imanbek Remix),231991
Olivia Rodrigo,Deja Vu,136013
Tate McRae,You Broke Me First,28772
Olivia Rodrigo,Deja Vu,139212
Lil Nas X,Thats What I Want,198940
Maren Morris,The Bones,171853
Doja Cat,Paint The Town Red,225385
Dua Lipa,Don't Start Now,96706
Billie Eilish,What Was I Made For?,160598
Olivia Rodrigo,Drivers License,92376
Nat King Cole,The Christmas Song (Merry Christmas To You),173145
Latto,Big Energy,234376
Morgan Wallen,Last Night,44240
Dua Lipa,Break My Heart,288448
Drake & 21 Savage,Rich Flex,70788
David Kushner,Daylight,58426
Stephen Sanchez,Until I Found You,8172
Lewis Capaldi,Someone You Loved,267783
Em Beihold,Numb Little Bug,105926
Lil Uzi Vert,Just Wanna Rock,25631
Coi Leray,Players,55753
Ed Sheeran,Bad Habits,240280
Bailey Zimmerman,Rock And A Hard Place,119837
Drake & 21 Savage,Jimmy Cooks,252788
Lost Frequencies & Calum Scott,Where Are You Now,8950
Harry Styles,Late Night Talking,110573
DJ Ti.sto,The Business,105927
DJ Ti.sto,The Business,22739
Post Malone,Chemical,292371
Kelly Clarkson,Underneath The Tree,9559
Zach Bryan,Something In The Orange,295401
Post Malone,Circles,159721
Dua Lipa & DaBaby,Levitating,49431
Morgan Wallen,Sand In My Boots,173493
Roddy Ricch,The Box,206730
Dua Lipa,Don't Start Now,145872
Bad Bunny,Titi me pregunto,244828
Taylor Swift,Lavender Haze,220862
Eslabon Armado & Peso Pluma,Ella Baila Sola,13170
Walker Hayes,Fancy Like,187134
JVKE,golden hour,33140
Doja Cat,Vegas,9651
Drake & 21 Savage & Project Pat,Knife Talk,227723
Bad Bunny & Chencho Corleone,Me porto bonito,281142
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,51507
WizKid & Justin Bieber & Tems,Essence,132366
Luke Combs,Forever After All,108355
Billie Eilish,Therefore I Am,25383
Billie Eilish,Happier Than Ever,120045
Joel Corry & MNEK,Head & Heart,231603
Internet Money & Gunna & Don Toliver & NAV,Lemonade,99166
Masked Wolf,Astronaut In The Ocean,236431
Morgan Wallen,Wasted On You,106089
Morgan Wallen,Thinkin' Bout Me,102605
The Weeknd & Ariana Grande,Die For You,221467
Polo G,Rapstar,15244
Kelly Clarkson,Underneath The Tree,237591
DaBaby & Roddy Ricch,Rockstar,239629
Meghan Trainor,Made You Look,294658
Steve Lacy,Bad Habit,215461
Nicky Youre & dazy,Sunroof,81112
Elton John & Dua Lipa,Cold Heart,42784
Lewis Capaldi,Before You Go,1222
Chris Brown,Under The Influence,19192
Morgan Wallen,Thought You Should Know,127353
Cole Swindell,She Had Me At Heads Carolina,272182
Em Beihold,Numb Little Bug,292272
The Weeknd & Ariana Grande,Save Your Tears,29587
Cardi B & Megan Thee Stallion,WAP,295092
Harry Styles,Adore You,103404
Drake & 21 Savage,Rich Flex,54399
Tate McRae,You Broke Me First,17316
Ed Sheeran,Eyes Closed,104358
Drake & 21 Savage & Project Pat,Knife Talk,27459
Gunna,Fukumean,127985
Metro Boomin, The Weeknd & 21 Savage,Creepin',56678
Rihanna,Lift Me Up,230073
Internet Money & Gunna & Don Toliver & NAV,Lemonade,285408
Fireboy DML & Ed Sheeran,Peru,84859
Oliver Tree & Robin Schulz,Miss You,24360
Harry Styles,As It Was,80994
AJR,Bang!,217867
Brenda Lee,Rockin' Around The Christmas Tree,215978
Michael Buble,It's Beginning To Look A Lot Like Christmas,106852
Rema & Selena Gomez,Calm Down,49885
Rosa Linn,Snap,67974
Ed Sheeran,Eyes Closed,257209
Morgan Wallen,Thinkin' Bout Me,145551
Nicki Minaj & Ice Spice with Aqua,Barbie World,228418
Lewis Capaldi,Someone You Loved,270525
Justin Bieber,Ghost,246268
DJ Ti.sto & Ava Max,The Motto,275134
Jose Feliciano,Feliz Navidad,227058
Nicki Minaj,Super Freaky Girl,187399
Saweetie & Doja Cat,Best Friend,76552
Jelly Roll,Need A Favor,271889
Morgan Wallen,Last Night,119898
Kane Brown With Katelyn Brown,Thank God,182093
Kate Bush,Running Up That Hill (A Deal With God),183420
Zach Bryan,Something In The Orange,44050
Kenya Grace,Strangers,75368
The Killers,Mr Brightside,134215
Morgan Wallen,You Proof,260391
Harry Styles,Late Night Talking,131773
Ariana Grande,Santa Tell Me,200956
Harry Styles,Late Night Talking,66497
Surf Mesa & Emilee,ILY (I Love You Baby),79004
Latto,Big Energy,197945
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,253090
Camila Cabello & Ed Sheeran,Bam Bam,38790
Rihanna,Lift Me Up,134384
Gabby Barrett & Charlie Puth,I Hope,185452
Ed Sheeran,Bad Habits,188197
Drake & 21 Savage & Project Pat,Knife Talk,51349
BTS,Dynamite,60826
Post Malone,Circles,218114
Harry Styles,Adore You,23023
SZA,Kill Bill,196517
Drake & Lil Durk,Laugh Now Cry Later,290010
Beyonce,Break My Soul,234855
Metro Boomin, The Weeknd & 21 Savage,Creepin',88130
Metro Boomin, The Weeknd & 21 Savage,Creepin',286312
Justin Bieber,Ghost,143871
Kodak Black,Super Gremlin,269527
Steve Lacy,Bad Habit,181925
Kelly Clarkson,Underneath The Tree,227508
Justin Bieber & Quavo,Intentions,97485
Apache 207,Roller,91291
BTS,Butter,232965
Camila Cabello & DaBaby,My Oh My,153264
Taylor Swift,Lavender Haze,13642
Miley Cyrus,Flowers,208428
Ariana Grande,Santa Tell Me,81343
Ed Sheeran,Eyes Closed,73413
Camila Cabello & Ed Sheeran,Bam Bam,171399
Maren Morris,The Bones,28435
Eslabon Armado & Peso Pluma,Ella Baila Sola,124923
Oliver Tree & Robin Schulz,Miss You,205874
Morgan Wallen,Wasted On You,78265
Justin Bieber,Ghost,14609
Morgan Wallen,Thought You Should Know,5349
Lost Frequencies & Calum Scott,Where Are You Now,211379
The Kid LAROI & Justin Bieber,Stay,90758
Camila Cabello & DaBaby,My Oh My,206635
Lizzo,About Damn Time,280487
Morgan Wallen,Last Night,10634
Drake & Lil Durk,Laugh Now Cry Later,48300
Doja Cat,Paint The Town Red,222976
Jack Harlow,First Class,190173
Cardi B & Megan Thee Stallion,WAP,145189
Miguel,Sure Thing,283449
Olivia Rodrigo,Drivers License,88365
Libianca,People,17811
Sam Smith & Kim Petras,Unholy,176077
The Ronettes,Sleigh Ride,120483
Billie Eilish,everything i wanted,175303
Bailey Zimmerman,Rock And A Hard Place,106301
Billie Eilish,What Was I Made For?,209847
Zach Bryan,Something In The Orange,177730
Raye & 070 Shake,Escapism,239797
Miley Cyrus,Flowers,234907
Morgan Wallen,Thought You Should Know,27549
Oliver Tree & Robin Schulz,Miss You,258024
Future & Drake & Tems,WAIT FOR U,48745
Brenda Lee,Rockin' Around The Christmas Tree,181357
24kGoldn & Iann Dior,Mood,37639
Maren Morris,The Bones,175728
AJR,Bang!,54246
Nat King Cole,The Christmas Song (Merry Christmas To You),116939
Olivia Rodrigo,Deja Vu,279831
SAINt JHN,Roses (Imanbek Remix),252924
Kane Brown With Katelyn Brown,Thank God,255878
Metro Boomin, The Weeknd & 21 Savage,Creepin',184913
Cardi B & Megan Thee Stallion,WAP,123747
Justin Bieber & Quavo,Intentions,190703
Burl Ives,A Holly Jolly Christmas,67025
Chris Brown,Under The Influence,243332
Ariana Grande,Santa Tell Me,230464
Morgan Wallen,Sand In My Boots,267597
Toosii,Favorite Song,211792
Stephen Sanchez,Until I Found You,10080
Doja Cat,Paint The Town Red,139989
Morgan Wallen,Thinkin' Bout Me,154423
Adele,Easy On Me,117303
CKay,Love Nwantiti,106086
DJ Ti.sto,The Business,253344
DJ Ti.sto,The Business,82748
Nicki Minaj,Super Freaky Girl,6417
Joel Corry & MNEK,Head & Heart,195079
Lady Gaga & Ariana Grande,Rain On Me,181342
Rema,Calm Down,189832
Doja Cat & SZA,Kiss Me More,174266
Lil Nas X,Montero (Call Me By Your Name),70565
Post Malone,Chemical,15566
Ed Sheeran,Eyes Closed,250349
Beyonce,Break My Soul,22638
Morgan Wallen,Wasted On You,183501
Dua Lipa & DaBaby,Levitating,195536
Roddy Ricch,The Box,29699
Billie Eilish,everything i wanted,138833
BTS,Dynamite,34843
Trevor Daniel,Falling,145177
Justin Bieber & Daniel Caesar & Giveon,Peaches,125656
Doja Cat,Need To Know,101272
Olivia Rodrigo,Good 4 U,245676
Gabby Barrett & Charlie Puth,I Hope,63228
Shouse,Love Tonight,27136
Post Malone & The Weeknd,One Right Now,219914
PinkPantheress & Ice Spice,Boy's A Liar,Pt. 2,13036
DaBaby & Roddy Ricch,Rockstar,24377
Bobby Helms,Jingle Bell Rock,77946
Chris Brown & Young Thug,Go Crazy,284480
Lady Gaga & Ariana Grande,Rain On Me,198869
Jelly Roll,Need A Favor,64857
Pop Smoke & Lil Baby & DaBaby,For The Night,86616
Olivia Rodrigo,Traitor,149959
Maneskin,Beggin',183366
Olivia Rodrigo,Traitor,96258
Meghan Trainor,Made You Look,94787
Taylor Swift,Lavender Haze,192109
Morgan Wallen,Last Night,76918
Morgan Wallen,Sand In My Boots,203154
CKay,Love Nwantiti,217105
Eslabon Armado & Peso Pluma,Ella Baila Sola,55564
Taylor Swift,Anti-Hero,115437
Eslabon Armado & Peso Pluma,Ella Baila Sola,223426
Internet Money & Gunna & Don Toliver & NAV,Lemonade,27737
Justin Bieber & Quavo,Intentions,188293
Harry Styles,Adore You,217318
Burl Ives,A Holly Jolly Christmas,240264
Chris Brown,Under The Influence,26759
Morgan Wallen,Thought You Should Know,139916
Harry Styles,Watermelon Sugar,233860
Olivia Rodrigo,Drivers License,270196
Acraze & Cherish,Do It To It,10439
Kane Brown With Katelyn Brown,Thank God,91223
Ariana Grande,Santa Tell Me,100727
Kate Bush,Running Up That Hill (A Deal With God),74528
Billie Eilish,Therefore I Am,14012
Luke Combs,Forever After All,236876
Drake & 21 Savage & Project Pat,Knife Talk,205916
The Kid LAROI,Without You,151317
Nat King Cole,The Christmas Song (Merry Christmas To You),12606
Post Malone,Chemical,286054
Maroon 5,Memories,193699
Future & Drake & Tems,WAIT FOR U,143032
Adele,Easy On Me,98504
The Weeknd,Take My Breath,175994
Joel Corry & MNEK,Head & Heart,203629
Lizzo,About Damn Time,84953
Kelly Clarkson,Underneath The Tree,80495
Maneskin,Beggin',139517
Eslabon Armado & Peso Pluma,Ella Baila Sola,141082
Luke Combs,Forever After All,226891
Farruko,Pepas,89802
Meghan Trainor,Made You Look,47353
Lost Frequencies & Calum Scott,Where Are You Now,45847
Arizona Zervas,Roxanne,257623
DaBaby & Roddy Ricch,Rockstar,103636
Topic & A7S,Breaking Me,156473
Fireboy DML & Ed Sheeran,Peru,206521
David Guetta & Bebe Rexha,I'm Good (Blue),122164
Michael Buble,It's Beginning To Look A Lot Like Christmas,282522
Saweetie & Doja Cat,Best Friend,207980
Rosa Linn,Snap,266360
CKay,Love Nwantiti,266714
Harry Styles,Watermelon Sugar,41119
Nat King Cole,The Christmas Song (Merry Christmas To You),183189
Cardi B & Megan Thee Stallion,WAP,13882
The Kid LAROI & Justin Bieber,Stay,14578
Miley Cyrus,Flowers,105694
Dua Lipa,Break My Heart,44460
Gayle,abcdefu,280278
SAINt JHN,Roses (Imanbek Remix),22203
DaBaby & Roddy Ricch,Rockstar,128401
Tate McRae,Greedy,73820
Drake,Toosie Slide,132150
Powfu & Beabadoobee,Death Bed,28340
Libianca,People,171756
Ed Sheeran,Eyes Closed,211787
Giveon,Heartbreak Anniversary,277725
Imagine Dragons & JID,Enemy,141171
DaBaby & Roddy Ricch,Rockstar,273125
Arizona Zervas,Roxanne,186819
Michael Buble,It's Beginning To Look A Lot Like Christmas,40759
Walker Hayes,Fancy Like,278425
SZA,Kill Bill,79940
SAINt JHN,Roses,187906
Bad Bunny & Jhay Cortez,Dakiti,177098
Drake & 21 Savage,Jimmy Cooks,70256
Dua Lipa,Don't Start Now,252174
The Kid LAROI & Justin Bieber,Stay,237251
The Weeknd & Ariana Grande,Die For You,278744
Fifty Fifty,Cupid,261366
Lil Durk & J Cole,All My Life,151404
Harry Styles,As It Was,44171
Drake & Future & Young Thug,Way 2 Sexy,113339
Trevor Daniel,Falling,32526
Billie Eilish,Happier Than Ever,96772
Billie Eilish,Bad Guy,257799
The Weeknd,Take My Breath,262058
AJR,Bang!,124170
Maroon 5,Memories,5438
Imagine Dragons & JID,Enemy,184022
Morgan Wallen,Sand In My Boots,180339
Lost Frequencies & Calum Scott,Where Are You Now,98939
Mariah Carey,All I Want For Christmas Is You,55386
Lady Gaga & Ariana Grande,Rain On Me,95427
Tate McRae,You Broke Me First,221462
Joji,Glimpse Of Us,186276
Coldplay & BTS,My Universe,213780
Bad Bunny & Jhay Cortez,Dakiti,100938
Taylor Swift,Anti-Hero,221024
Nicki Minaj & Ice Spice with Aqua,Barbie World,117699
Tate McRae,Greedy,256061
OneRepublic,I Ain't Worried,182437
Arizona Zervas,Roxanne,73123
Lost Frequencies & Calum Scott,Where Are You Now,292241
Cardi B & Megan Thee Stallion,WAP,228810
Harry Styles,Adore You,187986
Wham!,Last Christmas,38204
Dua Lipa,Dance The Night,275694
Nicki Minaj & Ice Spice with Aqua,Barbie World,18486
Nat King Cole,The Christmas Song (Merry Christmas To You),139408
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,13384
The Killers,Mr Brightside,144361
Bailey Zimmerman,Rock And A Hard Place,27726
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,14632
Bailey Zimmerman,Rock And A Hard Place,90262
Olivia Rodrigo,Vampire,133008
Joji,Glimpse Of Us,25713
Joel Corry & MNEK,Head & Heart,217990
Ariana Grande,Positions,16191
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,44463
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,281758
Beyonce,Cuff It,296912
Billie Eilish,What Was I Made For?,69789
Lil Mosey,Blueberry Faygo,110330
Fireboy DML & Ed Sheeran,Peru,183297
Jordan Davis & Luke Bryan,Buy Dirt,163987
The Weeknd & Ariana Grande,Die For You,175423
Bad Bunny & Jhay Cortez,Dakiti,19685
Harry Styles,As It Was,30540
Zach Bryan,Something In The Orange,20084
Adele,Easy On Me,39466
Polo G,Rapstar,128906
Powfu & Beabadoobee,Death Bed,141839
Olivia Rodrigo,Deja Vu,267918
SAINt JHN,Roses,146169
Jordan Davis & Luke Bryan,Buy Dirt,135863
Justin Bieber & Chance The Rapper,Holy,17695
Luke Combs,Forever After All,200984
Dua Lipa & DaBaby,Levitating,111649
Powfu & Beabadoobee,Death Bed,234770
Lost Frequencies & Calum Scott,Where Are You Now,95518
Dua Lipa,Dance The Night,106478
Fifty Fifty,Cupid,188892
SAINt JHN,Roses,133986
Chris Brown & Young Thug,Go Crazy,6652
David Guetta & Bebe Rexha,I'm Good (Blue),46383
Raye & 070 Shake,Escapism,287429
Drake & Lil Durk,Laugh Now Cry Later,297238
Bad Bunny & Chencho Corleone,Me porto bonito,222001
Steve Lacy,Bad Habit,220706
Powfu & Beabadoobee,Death Bed,171286
Jack Harlow,First Class,135318
Em Beihold,Numb Little Bug,193277
Luke Combs,Fast Car,132544
Gayle,abcdefu,166828
Lewis Capaldi,Someone You Loved,265035
WizKid & Justin Bieber & Tems,Essence,70296
Chris Brown & Young Thug,Go Crazy,130142
Jack Harlow & DaBaby, Tory Lanez & Lil' Wayne,WHATS POPPIN,244636
Morgan Wallen,You Proof,234377
Taylor Swift,Cruel Summer,262579
Lizzo,About Damn Time,123730
Miley Cyrus,Midnight Sky,10951
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,11417
Post Malone & The Weeknd,One Right Now,274695
Giveon,Heartbreak Anniversary,89059
Pop Smoke,What You Know Bout Love,243649
Lewis Capaldi,Someone You Loved,230731
The Weeknd & Ariana Grande,Save Your Tears,119096
Fireboy DML & Ed Sheeran,Peru,240949
SAINt JHN,Roses,187650
Sam Smith & Kim Petras,Unholy,13187
Nathan Evans,Wellerman,283788
Tom Odell,Another Love,219376
Ed Sheeran,Bad Habits,122994
Nicki Minaj & Ice Spice with Aqua,Barbie World,195082
Olivia Rodrigo,Good 4 U,196222
Lewis Capaldi,Someone You Loved,211399
Kenya Grace,Strangers,177810
Lost Frequencies & Calum Scott,Where Are You Now,232032
Oliver Tree & Robin Schulz,Miss You,116283
Imagine Dragons & JID,Enemy,254020
Morgan Wallen,Thinkin' Bout Me,120914
Harry Styles,Late Night Talking,210403
Kodak Black,Super Gremlin,11731
CKay,Love Nwantiti,138392
Miley Cyrus,Flowers,282053
Rosa Linn,Snap,15416
Surf Mesa & Emilee,ILY (I Love You Baby),193295
Doja Cat,Paint The Town Red,173309
Morgan Wallen,Thought You Should Know,241870
Ed Sheeran,Bad Habits,33987
Drake,Toosie Slide,243051
Harry Styles,Late Night Talking,102394
Olivia Rodrigo,Good 4 U,111704
Meghan Trainor,Made You Look,32096
Lewis Capaldi,Before You Go,215347
Apache 207,Roller,182942
Drake & 21 Savage & Project Pat,Knife Talk,230991
JVKE,golden hour,137357
Lil Tjay & 6LACK,Calling My Phone,217081
Joji,Glimpse Of Us,15928
Morgan Wallen,Wasted On You,62714
Maroon 5,Memories,192797
Lil Nas X,Montero (Call Me By Your Name),96921
Bailey Zimmerman,Rock And A Hard Place,46384
Elton John & Dua Lipa,Cold Heart,14611
David Guetta & Bebe Rexha,I'm Good (Blue),163031
Morgan Wallen,Thinkin' Bout Me,33044
The Weeknd,Blinding Lights,167998
Olivia Rodrigo,Good 4 U,43307
Ariana Grande,Santa Tell Me,23063
